FECHAINGRESO	CODIGO	DESCRIPCION	CAPITULO	DESCRIPCIONCAPITULO	PARTIDA	DESCRIPCIONPARTIDA	SUBPARTIDA	NECESITACODIGOARANCEL	MERCANCIAPELIGROSA	
2024/01/31 06:33:14	250870	TIERRA DE CHAMOTAS O DE DINAS	25	SAL; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS	08	LAS DEMAS ARCILLAS (CON EXCLUSION DE LAS ARCILLAS DILATADAS DE LA PARTIDA 6806	70	.	 	
2024/01/31 06:27:26	251710	CANTOS, GRAVAS, PIEDRAS MACHACADAS	25	SAL; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS	17	CANTOS;  GRAVA;  PIEDRAS MACHACADAS;  DE LOS TIPOS GENERALMENTE UTILIZADOS PAR	10	.	 	
2024/01/31 06:24:50	250510	ARENAS SILICEAS Y ARENAS CUARZOSAS	25	SAL; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS	05	ARENAS NATURALES DE CUALQUIER CLASE;  INCLUSO COLOREADAS;  CON EXCLUSION DE LA	10	.	 	
2023/04/13 15:38:19	151110	ACEITE DE PALMA EN BRUTO O REFINADO	15	GRASAS Y ACEITES ANIMALES O VEGETALES; PRODUCTOS DE SU DESDOBLAMIENTO	11	ACEITE DE PALMA Y SUS FRACCIONES;  INCLUSO REFINADO;  PERO SIN MODIFICAR QUIMI	10	.	 	
2023/04/12 06:25:00	690410	LADRILLOS DE CONSTRUCCION	69	PRODUCTOS CERÁMICOS	04	LADRILLOS DE CONSTRUCCION;  BOVEDILLAS;  CUBREVIGAS Y ARTICULOS SIMILARES;  D	10	.	 	
2023/04/12 06:21:25	721610	PERFILES DE HIERRO O DE ACERO	72	FUNDICIÓN; HIERRO Y ACERO	16	PERFILES DE HIERRO O DE ACERO SIN ALEAR	10	.	 	
2023/04/12 06:18:43	721410	BARRAS DE HIERRO O DE ACERO	72	FUNDICIÓN; HIERRO Y ACERO	14	BARRAS DE HIERRO O DE ACERO SIN ALEAR;  SIMPLEMENTE FORJADAS;  LAMINADAS O EXT	10	.	 	
2023/04/11 18:48:23	721600	PERFILES DE HIERRO O DE ACERO	72	FUNDICIÓN; HIERRO Y ACERO	16	PERFILES DE HIERRO O DE ACERO SIN ALEAR	00	.	 	
2023/04/11 18:41:01	721310	ALAMBRE DE HIERRO O DE ACERO	72	FUNDICIÓN; HIERRO Y ACERO	13	ALAMBRON DE HIERRO O DE ACERO SIN ALEAR	10	.	 	
2023/04/11 11:35:20	252321	CEMENTO BLANCO	25	SAL; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS	23	CEMENTOS HIDRAULICOS (INCLUIDOS LOS CEMENTOS SIN PULVERIZAR O CLINKER);  AUNQU	21	.	 	
2023/04/11 11:34:44	252310	CEMENTO GRIS	25	SAL; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS	23	CEMENTOS HIDRAULICOS (INCLUIDOS LOS CEMENTOS SIN PULVERIZAR O CLINKER);  AUNQU	10	.	 	
2023/03/22 15:09:00	380891	INSECTISIDAS	38	PRODUCTOS DIVERSOS DE LAS INDUSTRIAS QUÍMICAS	08	INSECTICIDAS;  RATICIDAS;  FUNGICIDAS;  HERBICIDAS;  INHIBIDORES DE GERMINACIO	91	.	 	
2023/03/22 15:03:04	040310	YOGURT	04	LECHE Y PRODUCTOS LÁCTEOS; HUEVOS DE AVE; MIEL NATURAL; PRODUCTOS	03	SUERO DE MANTEQUILLA (DE MANTECA);  LECHE Y NATA (CREMA) CUAJADAS; YOGUR; KEFI	10	.	 	
2023/03/22 14:57:35	310520	ABONOS MINERALES CON ELEMENTOS FERTILIZANTES: NITROGENO, FOSFOTO Y POTASIO, 	31	ABONOS	05	ABONOS MINERALES O QUIMICOS;  CON DOS O TRES DE LOS ELEMENTOS FERTILIZANTES NI	20	.	 	
2023/03/22 14:50:00	020410	CARNE OVINA O CAPRINA FRESCA	02	CARNES Y DESPOJOS COMESTIBLES	04	CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA; FRESCA; REFRIGERADA O CONGE	10	.	 	
2023/03/22 14:48:19	020110	CARNE BOVINA FRESCA	02	CARNES Y DESPOJOS COMESTIBLES	01	CARNE DE ANIMALES DE LA ESPECIE BOVINA; FRESCA O REFRIGERADA	10	.	 	
2023/03/22 14:44:41	010100	CABALLOS, ASNOS, MULOS VIVOS	01	ANIMALES VIVOS	01	CABALLOS,  ASNOS,  MULOS Y BURDEGANOS,   VIVOS	00	.	 	
2023/03/22 14:37:13	090111	CAFE SIN TOSTAR	09	CAFÉ, TÉ, YERBA MATE Y ESPECIAS	01	CAFE;  INCLUSO TOSTADO O DESCAFEINADO; CASCARA O CASCARILLA DE CAFE; SUCEDANEO	11	.	 	
2023/03/22 14:33:22	170113	PANELA	17	AZÚCARES Y ARTÍCULOS DE CONFITERÍA	01	AZUCAR DE CAÑA O DE REMOLACHA Y SACAROSA QUIMICAMENTE PURA; EN ESTADO SOLIDO	13	.	 	
2023/03/22 14:09:49	071340	LENTEJA	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	13	HORTALIZAS (INCLUSO SILVESTRES);  DE VAINA SECAS DESVAINADAS AUNQUE ESTEN MOND	40	.	 	
2023/03/22 14:08:41	100110	TRIGO	10	CEREALES	01	TRIGO Y MORCAJO O TRANQUILLON	10	.	 	
2023/03/22 14:07:44	100700	SORGO	10	CEREALES	07	SORGO DE GRANO	00	.	 	
2023/03/22 14:06:22	100400	AVENA	10	CEREALES	04	AVENA	00	.	 	
2023/03/22 14:06:06	100300	CEBADA	10	CEREALES	03	CEBADA	00	.	 	
2023/03/22 14:05:47	100200	CENTENO	10	CEREALES	02	CENTENO	00	.	 	
2023/03/22 14:02:34	070999	ACELGAS, CILANTRO	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	09	LAS DEMAS HORTALIZAS (INCLUSO SILVESTRES) FRESCAS O REFRIGERADAS	99	.	 	
2023/03/22 14:13:58	070200	TOMATE FRESCO	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	02	TOMATES FRESCOS O REFRIGERADOS	00	.	 	
2023/03/22 13:45:03	070511	LECHUGA	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	05	LECHUGA(LACTUCA SATIVA) Y ACHICORIAS; COMPRENDIDAS LA ESCAROLA Y LA ENDIBIA FR	11	.	 	
2023/03/07 13:35:35	230990	ALIMENTO PARA PERROS O GATOS	23	PREPARACIONES DE LOS TIPOS UTILIZADOS PARA LA ALIMENTACION DE LOS ANIMALES	09	LAS DEMAS PREPARACIONES DE LAS UTILIZADAS PARA LA ALIMENTACIÓN DE ANIMALES	90	.	 	
2023/03/07 13:34:08	230910	ALIMENTO PARA PERROS O GATOS	23	PREPARACIONES DE LOS TIPOS UTILIZADOS PARA LA ALIMENTACION DE LOS ANIMALES	09	ALIMENTOS PARA PERROS Y GATOS ACONDICIONADOS PARA LA VENTA AL POR MENOR	10	.	 	
2023/02/21 12:03:44	020810	CARNE DE CONEJO O LIEBRE FRESCA O REFRIGERADA	02	CARNES Y DESPOJOS COMESTIBLES	08	LAS DEMAS CARNES Y DESPOJOS COMESTIBLES; FRESCOS; REFRIGERADOS O CONGELADOS	10	.	 	
2023/02/21 12:02:18	020724	CARNE DE PAVO FRESCA O REFRIGERADA	02	CARNES Y DESPOJOS COMESTIBLES	07	CARNE Y DESPOJOS COMESTIBLES DE AVES DE LA PARTIDA 0 1;0 5; FRESCOS; REFRIGERD	24	.	 	
2023/02/21 11:59:57	020711	CARNE DE POLLO, GALLINA, GALLO, FRESCA O REFRIGERADA	02	CARNES Y DESPOJOS COMESTIBLES	07	CARNE Y DESPOJOS COMESTIBLES DE AVES DE LA PARTIDA 0 1;0 5; FRESCOS; REFRIGERD	11	.	 	
2023/02/21 11:52:09	010614	CONEJOS VIVOS	01	ANIMALES VIVOS	06	LOS DEMAS ANIMALES VIVOS	14	.	 	
2023/02/21 11:51:04	010513	PATOS VIVOS	01	ANIMALES VIVOS	05	GALLOS; GALLINAS; PATOS; GANSOS; PAVOS Y PINTADAS DE LAS ESPECIES DOMESTICAS	13	.	 	
2023/02/21 11:50:17	010512	PAVOS VIVOS	01	ANIMALES VIVOS	05	GALLOS; GALLINAS; PATOS; GANSOS; PAVOS Y PINTADAS DE LAS ESPECIES DOMESTICAS	12	.	 	
2023/02/21 11:49:29	010511	GALLOS, GALLINAS, POLLOS VIVOS	01	ANIMALES VIVOS	05	GALLOS; GALLINAS; PATOS; GANSOS; PAVOS Y PINTADAS DE LAS ESPECIES DOMESTICAS	11	.	 	
2023/02/07 06:51:07	271012	ACEITES LIGEROS (LIVIANOS) Y SUS PREPARACIONES	27	COMBUSTIBLES MINERALES; ACEITES MINERALES Y PRODUCTOS DE SU DESTILACIÓN	10	Aceites de petróleo o de mineral bituminoso (excepto los aceites crudos) y preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petróleo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base, excepto las que contengan biodiésel y los desechos de aceites	12	SI	NO	
2023/01/31 11:42:15	040120	LECHE CRUDA	04	LECHE Y PRODUCTOS LÁCTEOS; HUEVOS DE AVE; MIEL NATURAL; PRODUCTOS	01	LECHE Y NATA (CREMA) SIN CONCENTRAR; SIN ADICION DE AZUCAR NI OTRO EDUCOLORANT	20	.	 	
2020/07/21 12:59:39	081098	FEIJOA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	10	LAS DEMAS FRUTAS U OTROS FRUTOS FRESCOS	98	.	 	
2020/07/21 12:58:42	081097	CURUBA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	10	LAS DEMAS FRUTAS U OTROS FRUTOS FRESCOS	97	.	 	
2020/07/21 12:56:59	081091	MARACUYA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	10	LAS DEMAS FRUTAS U OTROS FRUTOS FRESCOS	91	.	 	
2020/07/21 12:51:56	081020	FRAMBUESA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	10	LAS DEMAS FRUTAS U OTROS FRUTOS FRESCOS	20	.	 	
2020/07/21 12:51:08	081040	ARANDANO	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	10	LAS DEMAS FRUTAS U OTROS FRUTOS FRESCOS	40	.	 	
2020/07/21 12:50:48	080940	CIRUELA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	09	ALBARICOQUES(DAMASCOS; CHABACANOS); CEREZAS; MELOCOTONES(DURAZNOS); (INCLUIDO	40	.	 	
2020/07/21 12:49:06	080830	PERA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	08	MANZANAS; PERAS;  Y MENBRILLOS FRESCOS	30	.	 	
2020/07/21 12:48:12	080711	PATILLA (SANDÍA)	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	07	MELONES; SANDIAS Y PAPAYAS FRESCOS	11	.	 	
2020/07/21 12:46:28	080552	LIMON TAHITÍ	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	05	AGRIOS (CITRICOS) FRESCOS O SECOS	52	.	 	
2020/07/21 12:42:23	080540	TORONJA O POMELO	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	05	AGRIOS (CITRICOS) FRESCOS O SECOS	40	.	 	
2020/07/21 12:41:11	080522	NARANJA TANGELO	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	05	AGRIOS (CITRICOS) FRESCOS O SECOS	22	.	 	
2020/06/22 15:05:17	070700	PEPINO COHOMBRO	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	07	PEPINOS Y PEPINILLOS FRESCOS O REFRIGERADOS	00	.	 	
2020/06/22 15:01:57	070991	ALCACHOFA	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	09	LAS DEMAS HORTALIZAS (INCLUSO SILVESTRES) FRESCAS O REFRIGERADAS	91	.	 	
2020/06/22 15:01:31	070820	FRIJOL	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	08	HORTALIZAS(INCLUSO SILVESTRES) DE VAINA;  AUNQUE ESTEN DESVAINADAS;  FRESCAS	20	.	 	
2020/06/22 15:01:08	070810	ARVEJA	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	08	HORTALIZAS(INCLUSO SILVESTRES) DE VAINA;  AUNQUE ESTEN DESVAINADAS;  FRESCAS	10	.	 	
2020/06/22 15:00:23	070940	APIO	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	09	LAS DEMAS HORTALIZAS (INCLUSO SILVESTRES) FRESCAS O REFRIGERADAS	40	.	 	
2020/06/22 14:59:50	070930	BERENJENA	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	09	LAS DEMAS HORTALIZAS (INCLUSO SILVESTRES) FRESCAS O REFRIGERADAS	30	.	 	
2020/06/22 14:56:09	080612	UVA ISABELINA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	06	UVAS FRESCAS O SECAS; INCLUIDAS LAS PASAS	12	.	 	
2020/06/22 14:55:56	080611	UVA ROJA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	06	UVAS FRESCAS O SECAS; INCLUIDAS LAS PASAS	11	.	 	
2020/06/22 14:55:43	080610	UVA VERDE	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	06	UVAS FRESCAS O SECAS; INCLUIDAS LAS PASAS	10	.	 	
2020/06/22 14:51:20	081096	LULO	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	10	LAS DEMAS FRUTAS U OTROS FRUTOS FRESCOS	96	.	 	
2020/07/21 12:48:25	080722	.	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	07	MELONES; SANDIAS Y PAPAYAS FRESCOS	22	.	 	
2020/06/22 14:47:54	080721	MELON	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	07	MELONES; SANDIAS Y PAPAYAS FRESCOS	21	.	 	
2020/06/22 14:45:42	081122	MORA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	11	FRUTAS Y OTROS FRUTOS;  SIN COCER O COCIDOS EN AGUA O VAPOR; CONGELADOS; INCLU	22	.	 	
2020/06/22 14:45:28	081121	ZARZAMORA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	11	FRUTAS Y OTROS FRUTOS;  SIN COCER O COCIDOS EN AGUA O VAPOR; CONGELADOS; INCLU	21	.	 	
2020/07/21 12:55:02	081120	.	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	11	FRUTAS Y OTROS FRUTOS;  SIN COCER O COCIDOS EN AGUA O VAPOR; CONGELADOS; INCLU	20	.	 	
2020/06/22 14:44:40	081110	FRESA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	11	FRUTAS Y OTROS FRUTOS;  SIN COCER O COCIDOS EN AGUA O VAPOR; CONGELADOS; INCLU	10	.	 	
2020/06/22 14:43:58	081095	UCHUVA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	10	LAS DEMAS FRUTAS U OTROS FRUTOS FRESCOS	95	.	 	
2020/06/22 14:44:04	081094	PITAHAYA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	10	LAS DEMAS FRUTAS U OTROS FRUTOS FRESCOS	94	.	 	
2020/06/22 14:43:15	081093	TOMATE DE ARBOL	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	10	LAS DEMAS FRUTAS U OTROS FRUTOS FRESCOS	93	.	 	
2020/06/22 14:43:00	081092	CHIRIMOYA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	10	LAS DEMAS FRUTAS U OTROS FRUTOS FRESCOS	92	.	 	
2020/06/22 14:42:23	081090	GRANADILLA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	10	LAS DEMAS FRUTAS U OTROS FRUTOS FRESCOS	90	.	 	
2020/06/22 14:37:03	080440	AGUACATE	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	04	DATILES; HIGOS; PI?AS TROPICALES8ANANAS); AGUACATES(PALTAS); GUAYABAS; MANGOS	40	.	 	
2023/03/22 14:38:39	180100	CACAO EN GRANO	18	CACAO Y SUS PREPARACIONES	01	CACAO EN GRANO;  ENTERO O PARTIDO;  CRUDO O TOSTADO	00	.	 	
2020/06/22 14:30:11	121291	REMOLACHA	12	SEMILLAS Y FRUTOS OLEAGINOSOS; SEMILLAS Y FRUTOS DIVERSOS; PLANTAS	12	ALGARROBAS;  ALGAS;  REMOLACHA AZUCARERA Y CA?A DE AZUCAR;  FRESCAS;  REFRIGER	91	.	 	
2020/06/22 14:29:16	121293	CAÑA DE AZUCAR	12	SEMILLAS Y FRUTOS OLEAGINOSOS; SEMILLAS Y FRUTOS DIVERSOS; PLANTAS	12	ALGARROBAS;  ALGAS;  REMOLACHA AZUCARERA Y CA?A DE AZUCAR;  FRESCAS;  REFRIGER	93	.	 	
2020/06/22 14:22:24	080521	MANDARINA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	05	AGRIOS (CITRICOS) FRESCOS O SECOS	21	.	 	
2020/06/22 14:21:42	080451	MANGO	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	04	DATILES; HIGOS; PI?AS TROPICALES8ANANAS); AGUACATES(PALTAS); GUAYABAS; MANGOS	51	.	 	
2020/06/22 14:21:35	080450	GUAYABA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	04	DATILES; HIGOS; PI?AS TROPICALES8ANANAS); AGUACATES(PALTAS); GUAYABAS; MANGOS	50	.	 	
2020/06/22 14:19:51	080430	PIÑA	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	04	DATILES; HIGOS; PI?AS TROPICALES8ANANAS); AGUACATES(PALTAS); GUAYABAS; MANGOS	30	.	 	
2020/06/22 14:19:09	080311	PLATANO	08	FRUTOS COMESTIBLES; CORTEZAS DE AGRIOS O DE MELONES	03	BANANAS O PLATANOS FRESCOS O SECOS	11	.	 	
2020/06/22 14:15:56	070391	CEBOLLÍN	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	03	CEBOLLAS;  CHALOTES; AJOS; PUERROS Y DEMAS HORTALIZAS(INCLUSO SILVESTRES) ALIA	91	.	 	
2020/06/22 14:15:47	070390	CEBOLLA JUNCA (LARGA)	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	03	CEBOLLAS;  CHALOTES; AJOS; PUERROS Y DEMAS HORTALIZAS(INCLUSO SILVESTRES) ALIA	90	.	 	
2020/06/22 14:08:41	070311	CEBOLLA CABEZONA ROJA	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	03	CEBOLLAS;  CHALOTES; AJOS; PUERROS Y DEMAS HORTALIZAS(INCLUSO SILVESTRES) ALIA	11	.	 	
2020/06/22 14:03:30	071430	ÑAME	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	14	RAICES DE MANDIOCA (YUCA); ARRURRUZ O SALEP; AGUATURMAS(PATACAS); BATATAS (BON	30	.	 	
2020/06/22 14:03:04	071410	YUCA	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	14	RAICES DE MANDIOCA (YUCA); ARRURRUZ O SALEP; AGUATURMAS(PATACAS); BATATAS (BON	10	.	 	
2020/06/22 13:53:52	070115	PAPA OTRAS	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	01	PATATAS (PAPAS) FRESCAS O REFRIGERADAS	15	.	 	
2020/06/22 13:53:32	070114	PAPA R-12 DIACOL	07	LEGUMBRES Y HORTALIZAS, PLANTAS, RAÍCES Y TUBÉRCULOS ALIMENTICIOS	01	PATATAS (PAPAS) FRESCAS O REFRIGERADAS	14	.	 	
