FECHAINGRESO	TIPO	CODIGO	CAPITULO	PARTIDA	APLICASICETAC	NECESITASUBPARTIDA	HIDROCARBURO	UNIDADGALONES	IMPOCONSUMO	MERCANCIAPELIGROSA	CLASEDIVISION	PELIGROSECUNDARIO	GRUPOEMBALAJEENVASE	NOMBREYDESCRIPCION	ALERTA	
2025/10/20 11:20:54	CP	3080	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3080 - 6.1 - ISOCIANATOS TÓXICOS; INFLAMABLES; N.E.P. O ISOCIANATOS EN SOLUCIÓN;	 	 	NO	 	NO	SI	6.1	3	II	ISOCIANATOS TÓXICOS, INFLAMABLES, N.E.P. o ISOCIANATOS EN SOLUCIÓN, TÓXICOS, INFLAMABLES, N.E.P.	 	
2025/10/20 11:21:24	CP	3079	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3079 - 6.1 - METACRILONITRILO ESTABILIZADO	 	 	NO	 	NO	SI	6.1	3	I	METACRILONITRILO ESTABILIZADO	 	
2025/10/20 11:21:53	CP	3078	CLASE 4 - SÓLIDOS INFLAMABLES	3078 - 4.3 - CERIO; TORNEADURAS O POLVO GRANULADO	 	 	NO	 	NO	SI	4.3	 	II	CERIO, torneaduras o polvo abrasivo	 	
2025/10/20 11:22:14	CP	3077	CLASE 1 - EXPLOSIVOS	3077 - 9 - SUSTANCIA SÓLIDA POTENCIALMENTE PELIGROSA PARA EL MEDIO AMBIENTE; N.E.P.	 	 	NO	 	NO	SI	9	 	I, II, III	SUSTANCIA SÓLIDA POTENCIALMENTE PELIGROSA PARA EL MEDIO AMBIENTE; N.E.P.	 	
2025/10/20 11:22:46	CP	3073	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3073 - 6.1 - VINILPIRIDINAS ESTABILIZADAS	 	 	NO	 	NO	SI	6.1	3, 8	II	VINILPIRIDINAS ESTABILIZADAS	 	
2025/10/20 11:23:10	CP	3072	CLASE 9 - SUSTANCIAS Y OBJETOS PELIGROSOS VARIOS	3072 - 9 - APARATOS DE SALVAMENTO NO AUTOINFLABLES QUE CONTENGAN MERCANCÍAS PELI	 	 	NO	 	NO	SI	9	 	 	APARATOS DE SALVAMENTO NO AUTOINFLABLES que contienen mercancías peligrosas como material accesorio	 	
2025/10/20 11:23:33	CP	3071	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3071 - 6.1 - MERCAPTANOS LÍQUIDOS; TÓXICOS; INFLAMABLES; N.E.P. O MEZCLA DE MERC	 	 	NO	 	NO	SI	6.1	3	II	MERCAPTANOS LÍQUIDOS, TÓXICOS, INFLAMABLES, N.E.P. o MEZCLA DE MERCAPTANOS LÍQUIDOS, TÓXICOS, INFLAMABLES, N.E.P.	 	
2025/10/20 11:23:58	CP	3070	CLASE 2 - GASES	3070 - 2.2 - MEZCLA DE ÓXIDO DE ETILENO Y DICLORODIFLUOROMETANO; CON UN MÁXIMO D	 	 	NO	 	NO	SI	2.2	 	 	ÓXIDO DE ETILENO Y DICLORODIFLUOROMETANO, MEZCLA DE, con un máximo del 12,5 % de óxido de etileno	 	
2025/10/20 11:25:41	CP	3066	CLASE 8 - SUSTANCIAS CORROSIVAS	3066 - 8 - PINTURA (INCLUYE PINTURA; LACA; ESMALTE; COLORANTE; GOMA LACA; BARNIZ	 	 	NO	 	NO	SI	8	 	II, III	PINTURAS (incluidos pinturas, lacas, esmaltes, colorantes, goma laca, barnices, bruñidores, encáusticos, apresto líquido y bases líquidas para lacas) o PRODUCTOS PARA PINTURA (incluidos disolventes y diluyentes para pinturas)	 	
2025/10/20 11:26:04	CP	3065	CLASE 3 - LÍQUIDOS INFLAMABLES	3065 - 3 - BEBIDAS ALCOHÓLICAS; CON MÁS DEL 70% DE ALCOHOL EN VOLUMEN	 	 	NO	 	NO	SI	3	 	III	BEBIDAS ALCOHÓLICAS, con más del 70 % de alcohol en volumen	 	
2025/10/20 11:26:29	CP	3064	CLASE 3 - LÍQUIDOS INFLAMABLES	3064 - 3 - NITROGLICERINA EN SOLUCIÓN ALCOHÓLICA CON MÁS DEL 1% PERO NO MÁS DEL	 	 	NO	 	NO	SI	3	 	II	NITROGLICERINA EN SOLUCIÓN ALCOHÓLICA con más del 1 % pero no más del 5 % de nitroglicerina	 	
2025/10/20 11:29:22	CP	3057	CLASE 2 - GASES	3057 - 2.3 - CLORURO DE TRIFLUOROACETILO	 	 	NO	 	NO	SI	2.3	8	 	CLORURO DE TRIFLUOROACETILO	 	
2025/10/20 11:29:59	CP	3056	CLASE 3 - LÍQUIDOS INFLAMABLES	3056 - 3 - N-HEPTALDEHIDO	 	 	NO	 	NO	SI	3	 	III	n-HEPTALDEHÍDO	 	
2025/10/20 11:30:26	CP	3055	CLASE 8 - SUSTANCIAS CORROSIVAS	3055 - 8 - 2-(2-AMINOETOXI) ETANOL	 	 	NO	 	NO	SI	8	 	III	2-(2-AMINOETOXI) ETANOL	 	
2025/10/20 11:31:36	CP	3054	CLASE 3 - LÍQUIDOS INFLAMABLES	3054 - 3 - CICLOHEXILMERCAPTANO	 	 	NO	 	NO	SI	3	 	III	CICLOHEXILMERCAPTANO	 	
2025/10/20 11:32:00	CP	3048	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3048 - 6.1 - PLAGUICIDA A BASE DE FOSFURO DE ALUMINIO	 	 	NO	 	NO	SI	6.1	 	I	PLAGUICIDA A BASE DE FOSFURO DE ALUMINIO	 	
2025/10/20 11:32:24	CP	3028	CLASE 8 - SUSTANCIAS CORROSIVAS	3028 - 8 - ACUMULADORES ELÉCTRICOS SECOS QUE CONTIENEN HIDRÓXIDO DE POTASIO SÓLI	 	 	NO	 	NO	SI	8	 	 	ACUMULADORES ELÉCTRICOS SECOS QUE CONTIENEN HIDRÓXIDO DE POTASIO SÓLIDO	 	
2025/10/20 11:32:55	CP	3027	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3027 - 6.1 - PLAGUICIDA A BASE DE DERIVADOS DE LA CUMARINA; SÓLIDO; TÓXICO	 	 	NO	 	NO	SI	6.1	 	I, II, III	PLAGUICIDA A BASE DE DERIVADOS DE LA CUMARINA, SÓLIDO, TÓXICO	 	
2025/10/20 11:33:20	CP	3026	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3026 - 6.1 - PLAGUICIDA A BASE DE DERIVADOS DE LA CUMARINA; LÍQUIDO; TÓXICO	 	 	NO	 	NO	SI	6.1	 	I, II, III	PLAGUICIDA A BASE DE DERIVADOS DE LA CUMARINA, LÍQUIDO, TÓXICO	 	
2025/10/20 11:33:42	CP	3025	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3025 - 6.1 - PLAGUICIDA A BASE DE DERIVADOS DE LA CUMARINA; LÍQUIDO; TÓXICO; INF	 	 	NO	 	NO	SI	6.1	3	I, II, III	PLAGUICIDA A BASE DE DERIVADOS DE LA CUMARINA, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C	 	
2025/10/20 11:34:07	CP	3024	CLASE 3 - LÍQUIDOS INFLAMABLES	3024 - 3 - PLAGUICIDA A BASE DE DERIVADOS DE LA CUMARINA; LÍQUIDO; INFLAMABLE; T	 	 	NO	 	NO	SI	3	6.1	I, II	PLAGUICIDA A BASE DE DERIVADOS DE LA CUMARINA, LÍQUIDO, INFLAMABLE, TÓXICO, de punto de inflamación inferior a 23 °C	 	
2025/10/20 11:34:30	CP	3023	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3023 - 6.1 - 2-METIL-2-HEPTANOTIOL	 	 	NO	 	NO	SI	6.1	3	I	2-METIL-2-HEPTANOTIOL	 	
2025/10/20 11:34:53	CP	3022	CLASE 3 - LÍQUIDOS INFLAMABLES	3022 - 3 - ÓXIDO DE 1;2-BUTILENO ESTABILIZADO	 	 	NO	 	NO	SI	3	 	II	ÓXIDO DE 1,2-BUTILENO ESTABILIZADO	 	
2025/10/20 11:35:17	CP	3021	CLASE 3 - LÍQUIDOS INFLAMABLES	3021 - 3 - PLAGUICIDA LÍQUIDO; INFLAMABLE; TÓXICO; N.E.P.; DE PUNTO DE INFLAMACI	 	 	NO	 	NO	SI	3	6.1	I, II	PLAGUICIDA LÍQUIDO, INFLAMABLE, TÓXICO, N.E.P., de punto de inflamación inferior a 23 °C	 	
2025/10/20 11:35:41	CP	3020	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3020 - 6.1 - PLAGUICIDA A BASE DE ORGANOESTAÑO; LÍQUIDO; TÓXICO	 	 	NO	 	NO	SI	6.1	 	I, II, III	PLAGUICIDA A BASE DE ORGANOESTAÑO, LÍQUIDO, TÓXICO	 	
2025/10/20 11:36:05	CP	3019	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3019 - 6.1 - PLAGUICIDA A BASE DE ORGANOESTAÑO; LÍQUIDO; TÓXICO; INFLAMABLE; DE	 	 	NO	 	NO	SI	6.1	3	I, II, III	PLAGUICIDA A BASE DE ORGANOESTAÑO, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C	 	
2025/10/20 11:36:31	CP	3018	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3018 - 6.1 - PLAGUICIDA A BASE DE ORGANOFÓSFORO; LÍQUIDO; TÓXICO	 	 	NO	 	NO	SI	6.1	 	I, II, III	PLAGUICIDA A BASE DE ORGANOFÓSFORO, LÍQUIDO, TÓXICO	 	
2025/10/20 11:37:01	CP	3017	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3017 - 6.1 - PLAGUICIDA A BASE DE ORGANOFÓSFORO; LÍQUIDO; TÓXICO; INFLAMABLE; DE	 	 	NO	 	NO	SI	6.1	3	I, II, III	PLAGUICIDA A BASE DE ORGANOFÓSFORO, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C	 	
2025/10/20 11:37:38	CP	3016	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3016 - 6.1 - PLAGUICIDA A BASE DE DIPIRIDILO; LÍQUIDO; TÓXICO	 	 	NO	 	NO	SI	6.1	 	I, II, III	PLAGUICIDA A BASE DE BIPIRIDILO, LÍQUIDO, TÓXICO	 	
2025/10/20 11:38:09	CP	3015	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3015 - 6.1 - PLAGUICIDA A BASE DE DIPIRIDILO; LÍQUIDO; TÓXICO; INFLAMABLE; DE PU	 	 	NO	 	NO	SI	6.1	3	I, II, III	PLAGUICIDA A BASE DE BIPIRIDILO, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C	 	
2025/10/20 11:38:34	CP	3014	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3014 - 6.1 - PLAGUICIDA A BASE DE NITROFENOLES SUSTITUIDOS; LÍQUIDO; TÓXICO	 	 	NO	 	NO	SI	6.1	 	I, II, III	PLAGUICIDA A BASE DE NITROFENOLES SUSTITUIDOS, LÍQUIDO, TÓXICO	 	
2025/10/20 11:38:58	CP	3013	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3013 - 6.1 - PLAGUICIDA A BASE DE NITROFENOLES SUSTITUIDOS; LÍQUIDO; TÓXICO; INF	 	 	NO	 	NO	SI	6.1	3	I, II, III	PLAGUICIDA A BASE DE NITROFENOLES SUSTITUIDOS, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C	 	
2025/10/20 11:39:25	CP	3012	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3012 - 6.1 - PLAGUICIDA A BASE DE MERCURIO; LÍQUIDO; TÓXICO	 	 	NO	 	NO	SI	6.1	 	I, II, III	PLAGUICIDA A BASE DE MERCURIO, LÍQUIDO, TÓXICO	 	
2025/10/20 11:39:47	CP	3011	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3011 - 6.1 - PLAGUICIDA A BASE DE MERCURIO; LÍQUIDO; TÓXICO; INFLAMABLE; DE PUNT	 	 	NO	 	NO	SI	6.1	3	I, II, III	PLAGUICIDA A BASE DE MERCURIO, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C	 	
2025/10/20 11:40:08	CP	3010	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3010 - 6.1 - PLAGUICIDA A BASE DE COBRE; LÍQUIDO; TÓXICO	 	 	NO	 	NO	SI	6.1	 	I, II, III	PLAGUICIDA A BASE DE COBRE, LÍQUIDO, TÓXICO	 	
2025/10/20 11:40:51	CP	3009	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3009 - 6.1 - PLAGUICIDA A BASE DE COBRE; LÍQUIDO; TÓXICO; INFLAMABLE; DE PUNTO D	 	 	NO	 	NO	SI	6.1	3	I, II, III	PLAGUICIDA A BASE DE COBRE, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C	 	
2025/10/20 11:41:14	CP	3006	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3006 - 6.1 - PLAGUICIDA A BASE DE TIOCARBAMATO; LÍQUIDO; TÓXICO	 	 	NO	 	NO	SI	6.1	 	I, II, III	PLAGUICIDA A BASE DE TIOCARBAMATO, LÍQUIDO, TÓXICO	 	
